id,히어로(참고용),체력,저지,공격,방어,히어로손패,일상이름,회복,일상손패
01001a,스파이더맨 / Spider-Man,,,,,,,,
01010a,캡틴 마블 / Captain Marvel,,,,,,,,
01019a,쉬헐크 / She-Hulk,,,,,,,,
01029a,아이언맨 / Iron Man,,,,,,,,
01040a,블랙 팬서 / Black Panther,,,,,,,,
03001a,캡틴 아메리카 / Captain America,,,,,,,,
05001a,미즈 마블 / Ms. Marvel,,,,,,,,
06001a,토르 / Thor,,,,,,,,
08001a,블랙 위도우 / Black Widow,,,,,,,,
09001a,닥터 스트레인지 / Doctor Strange,,,,,,,,
10001a,헐크 / Hulk,,,,,,,,
04001a,호크아이 / Hawkeye,,,,,,,,
04031a,스파이더우먼 / Spider-Woman,,,,,,,,
12001a,앤트맨 / Ant-Man (첫 면),,,,,,,,
12001c,앤트맨 / Ant-Man (두 번째 면),,,,,,,,
14001a,퀵실버 / Quicksilver,,,,,,,,
13001a,와스프 / Wasp (첫 면),,,,,,,,
13001c,와스프 / Wasp (두 번째 면),,,,,,,,
15001a,스칼렛 위치 / Scarlet Witch,,,,,,,,
16001a,그루트 / Groot,,,,,,,,
16029a,로켓 라쿤 / Rocket Raccoon,,,,,,,,
18001a,가모라 / Gamora,,,,,,,,
17001a,스타로드 / Star-Lord,,,,,,,,
19001a,드랙스 / Drax,,,,,,,,
20001a,베놈 / Venom,,,,,,,,
21001a,스펙트럼 / Spectrum,,,,,,,,
21031a,아담 워록 / Adam Warlock,,,,,,,,
22001a,네뷸라 / Nebula,,,,,,,,
23001a,워머신 / War Machine,,,,,,,,
25001a,발키리 / Valkyrie,,,,,,,,
26001a,비전 / Vision,,,,,,,,
27001a,고스트 스파이더 / Ghost-Spider,,,,,,,,
27030a,스파이더맨 (마일스) / Spider-Man,,,,,,,,
29001a,아이언하트 / Ironheart (첫 면),,,,,,,,
29002a,아이언하트 / Ironheart (두 번째 면),,,,,,,,
29003a,아이언하트 / Ironheart (세 번째 면),,,,,,,,
28001a,노바 / Nova,,,,,,,,
31001a,SP//dr / SP//dr Suit (첫 면),,,,,,,,
31001c,SP//dr 슈트 / SP//dr Suit (두 번째 면),,,,,,,,
30001a,스파이더햄 / Spider-Ham,,,,,,,,
33001a,사이클롭스 / Cyclops,,,,,,,,
32001a,콜로서스 / Colossus,,,,,,,,
32030a,섀도캣 / Shadowcat,,,,,,,,
34001a,피닉스 / Phoenix,,,,,,,,
36001a,스톰 / Storm,,,,,,,,
35001a,울버린 / Wolverine,,,,,,,,
37001a,갬빗 / Gambit,,,,,,,,
38001a,로그 / Rogue,,,,,,,,
40001a,케이블 / Cable,,,,,,,,
40037a,도미노 / Domino,,,,,,,,
42001a,엔젤 / Angel (첫 면),,,,,,,,
42001c,아크엔젤 / Archangel (두 번째 면),,,,,,,,
41001a,사일록 / Psylocke,,,,,,,,
44001a,데드풀 / Deadpool,,,,,,,,
43001a,X-23,,,,,,,,
45001a,비숍 / Bishop,,,,,,,,
45030a,매직 / Magik,,,,,,,,
46001a,아이스맨 / Iceman,,,,,,,,
47001a,주빌리 / Jubilee,,,,,,,,
48001a,나이트크롤러 / Nightcrawler,,,,,,,,
49001a,매그니토 / Magneto,,,,,,,,
50001a,마리아 힐 / Maria Hill,,,,,,,,
50034a,닉 퓨리 / Nick Fury,,,,,,,,
51001a,블랙 팬서 (슈리) / Black Panther,,,,,,,,
52001a,실크 / Silk,,,,,,,,
53001a,팔콘 / Falcon,,,,,,,,
54001a,윈터 솔져 / Winter Soldier,,,,,,,,
56001a,타이그라 / Tigra,,,,,,,,
56029a,헐클링 / Hulkling,,,,,,,,
59001a,헤라클레스 / Hercules,,,,,,,,
58001a,원더맨 / Wonder Man,,,,,,,,
60001a,데어데블 / Daredevil,,,,,,,,
60037a,에코 / Echo,,,,,,,,
61001a,제시카 존스 / Jessica Jones,,,,,,,,
62001a,루크 케이지 / Luke Cage,,,,,,,,
